trade_date,daily_trades,daily_total_pnl,daily_sent_score
2023-01-05,3,0.0,
2023-05-12,9,0.0,
2024-01-01,18,-129.53146,
2024-01-02,6,0.0,
2024-01-03,137,8244.241409,
2024-01-04,77,2507.963406,
2024-01-05,14,0.0,
2024-01-06,25,91.510419,
2024-01-07,64,5065.839308,
2024-01-08,57,167.080017,
2024-01-09,12,137.433093,
2024-01-10,4,0.0,
2024-01-11,23,1040.475736,
2024-01-12,416,40886.364494,
2024-02-01,17,783.979116,
2024-02-02,42,456.423473,
2024-02-03,31,230.90060000000005,
2024-02-04,41,883.760812,
2024-02-06,93,192.906947,
2024-02-07,18,2421.253116,
2024-02-08,63,782.3681909999999,
2024-02-09,2,0.0,
2024-02-10,4,0.0,
2024-02-11,2,0.0,
2024-02-12,270,18489.604313,
2024-03-01,67,866.015507,
2024-03-02,56,223.30918699999998,
2024-03-03,79,8361.086245,
2024-03-04,4,126.7884,
2024-03-05,36,5306.017045,
2024-03-06,70,562.808208,
2024-03-07,18,1118.387284,
2024-03-08,37,464.1897,
2024-03-10,9,100.375782,
2024-03-11,6,0.0,
2024-03-12,374,23576.539285,
2024-04-01,5,-67.60364,
2024-04-02,35,47.62389499999999,
2024-04-03,300,27799.775742,
2024-04-04,32,0.0,
2024-04-05,9,0.0,
2024-04-06,53,52.211438,
2024-04-07,25,0.0,
2024-04-08,127,-122672.000883,
2024-04-09,34,1065.785132,
2024-04-10,1,0.0,
2024-04-11,36,2799.410474,
2024-04-12,319,292891.815021,
2024-05-01,66,164.141565,
2024-05-02,72,-33.45419400000003,
2024-05-03,180,19791.026041,
2024-05-04,100,10706.484306,
2024-05-05,6,0.916,
2024-05-06,54,56.055506,
2024-05-07,32,0.0,
2024-05-08,80,-13013.665169,
2024-05-09,1,0.0,
2024-05-10,37,5767.161892,
2024-05-11,10,678.4759280000001,
2024-05-12,456,71574.11848800001,
2024-06-01,22,135.58166400000002,
2024-06-02,1088,-215.615907,
2024-06-03,82,6814.825139,
2024-06-04,16,236.33513399999998,
2024-06-05,9,968.59038,
2024-06-06,234,274.173187,
2024-06-07,24,108.87217799999999,
2024-06-08,107,267.318048,
2024-06-09,42,-1104.856765,
2024-06-10,22,130.487079,
2024-06-11,15,2817.83723,
2024-06-12,403,-92624.643895,
2024-07-01,97,-835.681235,
2024-07-02,15,241.24212,
2024-07-04,23,0.0,
2024-07-05,18,883.537693,
2024-07-06,440,8902.467416,
2024-07-07,10,61.428942,
2024-07-08,33,188.789255,
2024-07-10,21,0.0,
2024-07-11,113,4493.353136,
2024-07-12,304,85906.279067,
2024-08-01,128,-269.874439,
2024-08-02,10,770.756024,
2024-08-03,67,4271.886236,
2024-08-04,30,1218.4267,
2024-08-05,13,1.56576,
2024-08-06,29,129.13883900000002,
2024-08-07,1,0.0,
2024-08-08,9,-40.712216999999995,
2024-08-09,1,0.0,
2024-08-10,36,5396.546638,
2024-08-11,39,-64.41354100000007,
2024-08-12,420,15965.933436,
2024-09-01,70,-826.349863,
2024-09-03,117,9949.501624,
